titulo,texto
Rosto,"{'Noun': ['the front of the human head from the forehead to the chin and ear to ear', ""the feelings expressed on a person's face"", 'the general outward appearance of something', 'the striking or working surface of an implement', 'a part of a person that is used to refer to a person', 'a surface forming part of the outside of an object', 'the part of an animal corresponding to the human face', 'the side upon which the use of a thing depends (usually the most prominent surface of an object', 'a contorted facial expression', 'a specific size and style of type within a type family', 'status in the eyes of others', 'impudent aggressiveness', 'a vertical surface of a building or cliff'], 'Verb': ['deal with (something unpleasant', 'oppose, as in hostility or a competition', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'be opposite', 'turn so as to face; turn the face in a certain direction', 'present somebody with something, usually to accuse or criticize', 'turn so as to expose the face', 'line the edge (of a garment', 'cover the front or surface of']}"
Sangue,"{'Noun': ['the fluid (red in vertebrates', 'temperament or disposition', 'a dissolute man in fashionable society', 'the descendants of one individual', 'people viewed as members of a group'], 'Verb': ['smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill']}"
Seio,"{'Noun': ['the front of the trunk from the neck to the abdomen', 'either of two soft fleshy milk-secreting glandular organs on the chest of a woman', 'meat carved from the breast of a fowl', ""the part of an animal's body that corresponds to a person's chest""], 'Verb': ['meet at breast level', 'reach the summit (of a mountain', 'confront bodily']}"
Sêmem,{'Noun': ['the thick white fluid containing spermatozoa that is ejaculated by the male genital tract']}
Septo,"{'Noun': ['(anatomy', 'a partition or wall especially in an ovary']}"
Sacro,{'Noun': ['wedge-shaped bone consisting of five fused vertebrae forming the posterior part of the pelvis; its base connects with the lowest lumbar vertebra and its tip with the coccyx']}
Shin,"{'Noun': ['the front part of the human leg between the knee and the ankle', 'a cut of meat from the lower part of the leg', 'the 22nd letter of the Hebrew alphabet', 'the inner and thicker of the two bones of the human leg between the knee and ankle'], 'Verb': ['climb awkwardly, as if by scrambling']}"
Sinus,"{'Noun': ['an abnormal passage leading from a suppurating cavity to the body surface', 'any of various air-filled cavities especially in the bones of the skull', 'a wide channel containing blood; does not have the coating of an ordinary blood vessel']}"
Sobrancelhas,{'Noun': ['the arch of hair above each eye']}
Tendões,{'Noun': ['a cord or band of inelastic tissue connecting a muscle with its bony attachment']}
Testa,"{'Noun': ['the part of the face above the eyes', 'the large cranial bone forming the front part of the cranium: includes the upper part of the orbits']}"
Testículos,{'Noun': ['one of the two male reproductive glands that produce spermatozoa and secrete androgens']}
Tímpano,{'Noun': ['the membrane in the ear that vibrates to sound']}
Tiróide,"{'Noun': ['located near the base of the neck'], 'Adjective': ['of or relating to the thyroid gland', 'suggestive of a thyroid disorder']}"
Tíbia,{'Noun': ['the inner and thicker of the two bones of the human leg between the knee and ankle']}
Tonsila,{'Noun': ['either of two masses of lymphatic tissue one on each side of the oral pharynx']}
Tórax,"{'Noun': ['the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates', 'box with a lid; used for storage; usually large and sturdy', 'the front of the trunk from the neck to the abdomen', 'furniture with drawers for keeping clothes']}"
Tornozelo,{'Noun': ['a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus']}
Torso,{'Noun': ['the body excluding the head and neck and limbs']}
Traqueia,"{'Noun': ['membranous tube with cartilaginous rings that conveys inhaled air from the larynx to the bronchi', 'one of the tubules forming the respiratory system of most insects and many arachnids']}"
Tríceps,{'Noun': ['any skeletal muscle having three origins (but especially the triceps brachii']}
Tumor,{'Noun': ['an abnormal new mass of tissue that serves no purpose']}
Úmero,{'Noun': ['bone extending from the shoulder to the elbow']}
Unhas,"{'Noun': ['horny plate covering and protecting part of the dorsal surface of the digits', 'a thin pointed piece of metal that is hammered into materials as a fastener', 'a former unit of length for cloth equal to 1/16 of a yard'], 'Verb': ['attach something somewhere by means of nails', 'take into custody', 'hit hard', 'succeed in obtaining a position', 'succeed at easily', 'locate exactly', 'complete a pass']}"
Uretra,{'Noun': ['duct through which urine is discharged in most mammals and which serves as the male genital duct']}
Ureteres,{'Noun': ['either of a pair of thick-walled tubes that carry urine from the kidney to the urinary bladder']}
Útero,{'Noun': ['a hollow muscular organ in the pelvic cavity of females; contains the developing fetus']}
Úvea,{'Noun': ['the part of the eye that contains the iris and ciliary body and choroid']}
Úvula,{'Noun': ['a small pendant fleshy lobe at the back of the soft palate']}
Vagina,{'Noun': ['the lower part of the female reproductive tract; a moist canal in female mammals extending from the labia minora to the uterus']}
Válvulas,"{'Noun': ['a structure in a hollow organ (like the heart', 'device in a brass wind instrument for varying the length of the air column to alter the pitch of a tone', 'control consisting of a mechanical device for controlling the flow of a fluid', 'the entire one-piece shell of a snail and certain other molluscs', 'one of the paired hinged shells of certain molluscs and of brachiopods']}"
Veias,"{'Noun': ['a blood vessel that carries blood from the capillaries toward the heart', 'a distinctive style or manner', 'any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ', 'a layer of ore between layers of rock', 'one of the horny ribs that stiffen and support the wing of an insect'], 'Verb': ['make a veinlike pattern']}"
Ventrículos,"{'Noun': ['one of four connected cavities in the brain; is continuous with the central canal of the spinal cord and contains cerebrospinal fluid', 'a chamber of the heart that receives blood from an atrium and pumps it to the arteries']}"
Vénulas,{'Noun': ['a minute vein continuous with a capillary']}
Vértebras,{'Noun': ['one of the bony segments of the spinal column']}
Virilha,"{'Noun': ['the crease at the junction of the inner part of the thigh with the trunk together with the adjacent region and often including the external genitals', 'a curved edge formed by two intersecting vaults', 'a protective structure of stone or concrete; extends from shore into the water to prevent a beach from washing away'], 'Verb': ['build with groins']}"
Vírus,"{'Noun': ['(virology', 'DNA or RNA', 'a harmful or corrupting agency', 'a software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer']}"
Vesícula,{'Noun': ['a small anatomically normal sac or bladderlike structure (especially one containing fluid']}
Vulva,{'Noun': ['external parts of the female genitalia']}
